Publication Number,Publication Date,Title,Priority Data,IPC,Applicants,Inventors,FP Image
US20070227365,05.10.2007,Dual Temperature Pizza Oven,"[60524776 2003-11-25T23:59:59.000Z US, US04039581 2004-11-24T23:59:59.000Z WO]",A47J 37/00;A47J 37/00,FORKNER DONALD,Forkner Donald,NA
US6386440,15.05.2002,Pizza packaging system and method,[09517065 2000-03-01T23:59:59.000Z US],B65D 5/48;B65D 5/48;B65D 5/49;B65D 85/30;B65D 85/36,TULKOFF MARTIN,"Tulkoff, Martin",NA
US20050274779,16.12.2005,Pizza box,[10865540 2004-06-10T23:59:59.000Z US],B65D 5/00;B65D 5/00;B65D 5/64;B65D 5/66;B65D 43/00;B65D 43/00;B65D 85/30;B65D 85/36,International Paper Company,Kuhn Wayne H.;Pizzitola Frank,NA
US20080032004,08.02.2008,METHOD OF PREPARING PIZZA,NA,A21D 13/00;A21D 13/00,"Little Caesar Enterprises, Inc.",Fritz-Jung Cathryn;Auer Deborah;Kakish Hiba;Thomas Amanda B.,NA
US4559002,18.12.1985,Pizza press,NA,A21C 11/00;B30B 11/00;A21C 11/00;A21C 11/00;F16P 3/00;F16P 3/08,ATWOOD HAROLD T,Atwood Harold T.,NA
WO2005051148,10.06.2005,DUAL TEMPERATURE PIZZA OVEN,"[60/524,776 25.11.2003 US]",A47J 37/06,"WISCO INDUSTRIES, INC.;FORKNER, Donald","FORKNER, Donald",NA
US20020064586,31.05.2002,Microwaveable pizza crust,"[09679484 2000-10-04T23:59:59.000Z US, 09780771 2001-02-09T23:59:59.000Z US]",A21D 13/00;A21D 2/00;A21D 2/16;A21D 2/18;A21D 10/00;A21D 10/00;A21D 13/00;A21D 13/00,"KRAFT FOODS HOLDINGS, INC.",McPherson Andrew E.;Chen Weizhi;Akashe Ahmad;Miller Miranda,NA
US5112630,13.05.1992,Pizza pager signaling process,NA,A21B 1/00;A21B 1/40;A21B 1/42,SCOTT ARTHUR C,Scott Arthur C.,NA
CA2182687,11.08.1995,PIZZA CRISPER,"[08/190,942 1994-02-03T23:59:59.000Z US]",A47J 37/01;A21B 3/13;A47J 37/10,"EKCO HOUSEWARES, INC.","SEBALD, ROBERT V.",NA
US4170302,10.10.1979,Thermal pizza plate,NA,A47J 41/00;A47J 41/00;A47J 47/00;A47J 47/14;B65D 85/30;B65D 85/36,BACA CARLOS M,Baca Carlos M.,NA
US20120009302,13.01.2012,HYBRID PIZZA-LASAGNA FOOD PRODUCT,NA,A21D 13/00;A23L 1/16;A23C 19/09;A23L 1/31,Farrell Brian;McNulty John;Vishoot Lisa,Farrell Brian;McNulty John;Vishoot Lisa,NA
US20050118305,03.06.2005,Mexican style pizza,[10001162 2004-12-01T23:59:59.000Z US],A23G 3/00;A21D 13/00;A21D 13/00;A23L 1/212;A23L 1/212;A23L 1/39;A23L 1/39,NA,Romero Christopher,NA
EP0557425,02.09.1993,"METHOD OF MAKING A PIZZA, PIZZA TOPPINGS DISK AND APPARATUS FOR MAKING SAME","[61324990 1990-11-13T23:59:59.000Z US, 74665791 1991-08-16T23:59:59.000Z US, 9108464 1991-11-13T23:59:59.000Z US]",A21D 13/00;A21C 9/04;A21C 9/04;A23P 1/08;A23L 1/48;A23P 1/08,PIZZA HUT INC,MCDONALD JANE M;BINGHAM LYNN R;HIGGINS LORI B;JENNINGS KATHRYN M;KOEPPE SUSAN;ONEILL EDWARD;MOSHIER MARK W;BEHM LARRY R;JAAX SUSAN L,NA
WO1995020901,11.08.1995,PIZZA CRISPER,"[08/190,942 03.02.1994 US]",A21B 3/13;A47J 37/01;A47J 37/10,"EKCO HOUSEWARES, INC.","SEBALD, Robert, V.",NA
WO1992016417,02.10.1992,STACKED PIZZA PIE BOX,NA,B65D 5/49,"RAGAN, Philip, J.","RAGAN, Philip, J.",NA
US20030160040,29.08.2003,Support accessory for making pizza,NA,A21B 1/00;A21B 3/00;A21B 3/13;A21C 11/00;A21C 11/00,NA,Santora Osvaldo,NA
WO2008018983,15.02.2008,METHOD OF PREPARING PIZZA,"[11/462,539 04.08.2006 US]",A21D 13/00;A23G 3/00,"LITTLE CAESAR ENTERPRISES, INC.;FRITZ-JUNG, Cathryn;AUER, Deborah;KAKISH, Hiba;THOMAS, Amanda, B.","FRITZ-JUNG, Cathryn;AUER, Deborah;KAKISH, Hiba;THOMAS, Amanda, B.",NA
CA1226758,16.09.1987,LAMINATE PIZZA CRUST,"[413,888 1982-09-01T23:59:59.000Z US]",A21D 13/00,NA,"RICKE, ROY R.",NA
EP1042956,12.10.2000,Raw topped pizza dough,[99201085 1999-04-09T23:59:59.000Z EP],A21D 13/00;A21D 10/02,NESTLE SA,STOKOE IAN,NA
US4173942,14.11.1979,Pizza making machine,NA,A21B 5/00;A21B 5/02;A21B 7/00;A21B 7/00;A21C 9/00;A21C 9/04,"Bastian Blessing Company, Inc.",Plattner Robert F.,NA
US6010731,05.01.2000,Method of preparing pizza dough,[08504240 1995-07-19T23:59:59.000Z US],A21D 8/00;A21B 3/00;A21B 3/13;A21C 11/00;A21C 11/00;A47J 37/10;A47J 37/10,KIMPLE; ROBERT J.,Kimple Robert J.,NA
