"type","office","office_code","origin","technology_original","technology_number","technology","year","count"
"Region","Europe","R3","Resident","20 - Materials, metallurgy",20,"Materials, metallurgy","1980",5202
"Region","Europe","R3","Resident","21 - Surface technology, coating",21,"Surface technology, coating","1980",1366
"Region","Europe","R3","Resident","23 - Chemical engineering",23,"Chemical engineering","1980",4395
"Region","Europe","R3","Resident","24 - Environmental technology",24,"Environmental technology","1980",1376
"Region","Europe","R3","Resident","25 - Handling",25,"Handling","1980",4977
"Region","Europe","R3","Resident","26 - Machine tools",26,"Machine tools","1980",8464
"Region","Europe","R3","Resident","27 - Engines, pumps, turbines",27,"Engines, pumps, turbines","1980",2322
"Region","Europe","R3","Resident","28 - Textile and paper machines",28,"Textile and paper machines","1980",2301
"Region","Europe","R3","Resident","29 - Other special machines",29,"Other special machines","1980",4769
"Region","Europe","R3","Resident","30 - Thermal processes and apparatus",30,"Thermal processes and apparatus","1980",2542
"Region","Europe","R3","Resident","31 - Mechanical elements",31,"Mechanical elements","1980",4174
"Region","Europe","R3","Resident","32 - Transport",32,"Transport","1980",3584
"Region","Europe","R3","Resident","33 - Furniture, games",33,"Furniture, games","1980",913
"Region","Europe","R3","Resident","34 - Other consumer goods",34,"Other consumer goods","1980",1046
"Region","Europe","R3","Resident","35 - Civil engineering",35,"Civil engineering","1980",7149
"Region","Europe","R3","Non-Resident","0 - Unknown",0,"Unknown","1980",2286
"Region","Europe","R3","Non-Resident","1 - Electrical machinery, apparatus, energy",1,"Electrical machinery, apparatus, energy","1980",6621
"Region","Europe","R3","Non-Resident","2 - Audio-visual technology",2,"Audio-visual technology","1980",2337
"Region","Europe","R3","Non-Resident","3 - Telecommunications",3,"Telecommunications","1980",1385
"Region","Europe","R3","Non-Resident","4 - Digital communication",4,"Digital communication","1980",343
"Region","Europe","R3","Non-Resident","5 - Basic communication processes",5,"Basic communication processes","1980",1382
"Region","Europe","R3","Non-Resident","6 - Computer technology",6,"Computer technology","1980",1395
"Region","Europe","R3","Non-Resident","7 - IT methods for management",7,"IT methods for management","1980",24
"Region","Europe","R3","Non-Resident","8 - Semiconductors",8,"Semiconductors","1980",957
"Region","Europe","R3","Non-Resident","9 - Optics",9,"Optics","1980",2889
"Region","Europe","R3","Non-Resident","10 - Measurement",10,"Measurement","1980",4475
"Region","Europe","R3","Non-Resident","11 - Analysis of biological materials",11,"Analysis of biological materials","1980",460
"Region","Europe","R3","Non-Resident","12 - Control",12,"Control","1980",1334
"Region","Europe","R3","Non-Resident","13 - Medical technology",13,"Medical technology","1980",2280
"Region","Europe","R3","Non-Resident","14 - Organic fine chemistry",14,"Organic fine chemistry","1980",9645
"Region","Europe","R3","Non-Resident","15 - Biotechnology",15,"Biotechnology","1980",1116
"Region","Europe","R3","Non-Resident","16 - Pharmaceuticals",16,"Pharmaceuticals","1980",3789
"Region","Europe","R3","Non-Resident","17 - Macromolecular chemistry, polymers",17,"Macromolecular chemistry, polymers","1980",4146
"Region","Europe","R3","Non-Resident","18 - Food chemistry",18,"Food chemistry","1980",1409
"Region","Europe","R3","Non-Resident","19 - Basic materials chemistry",19,"Basic materials chemistry","1980",5391
"Region","Europe","R3","Non-Resident","20 - Materials, metallurgy",20,"Materials, metallurgy","1980",4715
"Region","Europe","R3","Non-Resident","21 - Surface technology, coating",21,"Surface technology, coating","1980",2114
"Region","Europe","R3","Non-Resident","22 - Micro-structural and nano-technology",22,"Micro-structural and nano-technology","1980",1
"Region","Europe","R3","Non-Resident","23 - Chemical engineering",23,"Chemical engineering","1980",4962
"Region","Europe","R3","Non-Resident","24 - Environmental technology",24,"Environmental technology","1980",1795
"Region","Europe","R3","Non-Resident","25 - Handling",25,"Handling","1980",5028
"Region","Europe","R3","Non-Resident","26 - Machine tools",26,"Machine tools","1980",5192
"Region","Europe","R3","Non-Resident","27 - Engines, pumps, turbines",27,"Engines, pumps, turbines","1980",3779
"Region","Europe","R3","Non-Resident","28 - Textile and paper machines",28,"Textile and paper machines","1980",4940
"Region","Europe","R3","Non-Resident","29 - Other special machines",29,"Other special machines","1980",5766
"Region","Europe","R3","Non-Resident","30 - Thermal processes and apparatus",30,"Thermal processes and apparatus","1980",2597
"Region","Europe","R3","Non-Resident","31 - Mechanical elements",31,"Mechanical elements","1980",5165
"Region","Europe","R3","Non-Resident","32 - Transport",32,"Transport","1980",4909
"Region","Europe","R3","Non-Resident","33 - Furniture, games",33,"Furniture, games","1980",2054
"Region","Europe","R3","Non-Resident","34 - Other consumer goods",34,"Other consumer goods","1980",2356
"Region","Europe","R3","Non-Resident","35 - Civil engineering",35,"Civil engineering","1980",5205
"Region","Latin America and the Caribbean","R4","Resident","0 - Unknown",0,"Unknown","1980",124
"Region","Latin America and the Caribbean","R4","Resident","1 - Electrical machinery, apparatus, energy",1,"Electrical machinery, apparatus, energy","1980",30
"Region","Latin America and the Caribbean","R4","Resident","2 - Audio-visual technology",2,"Audio-visual technology","1980",13
"Region","Latin America and the Caribbean","R4","Resident","3 - Telecommunications",3,"Telecommunications","1980",5
"Region","Latin America and the Caribbean","R4","Resident","4 - Digital communication",4,"Digital communication","1980",1
"Region","Latin America and the Caribbean","R4","Resident","5 - Basic communication processes",5,"Basic communication processes","1980",2
"Region","Latin America and the Caribbean","R4","Resident","6 - Computer technology",6,"Computer technology","1980",1
"Region","Latin America and the Caribbean","R4","Resident","8 - Semiconductors",8,"Semiconductors","1980",4
"Region","Latin America and the Caribbean","R4","Resident","9 - Optics",9,"Optics","1980",4
"Region","Latin America and the Caribbean","R4","Resident","10 - Measurement",10,"Measurement","1980",14
"Region","Latin America and the Caribbean","R4","Resident","12 - Control",12,"Control","1980",4
"Region","Latin America and the Caribbean","R4","Resident","13 - Medical technology",13,"Medical technology","1980",36
"Region","Latin America and the Caribbean","R4","Resident","14 - Organic fine chemistry",14,"Organic fine chemistry","1980",11
"Region","Latin America and the Caribbean","R4","Resident","16 - Pharmaceuticals",16,"Pharmaceuticals","1980",2
"Region","Latin America and the Caribbean","R4","Resident","17 - Macromolecular chemistry, polymers",17,"Macromolecular chemistry, polymers","1980",3
"Region","Latin America and the Caribbean","R4","Resident","18 - Food chemistry",18,"Food chemistry","1980",12
"Region","Latin America and the Caribbean","R4","Resident","19 - Basic materials chemistry",19,"Basic materials chemistry","1980",9
"Region","Latin America and the Caribbean","R4","Resident","20 - Materials, metallurgy",20,"Materials, metallurgy","1980",14
"Region","Latin America and the Caribbean","R4","Resident","21 - Surface technology, coating",21,"Surface technology, coating","1980",2
"Region","Latin America and the Caribbean","R4","Resident","23 - Chemical engineering",23,"Chemical engineering","1980",22
"Region","Latin America and the Caribbean","R4","Resident","24 - Environmental technology",24,"Environmental technology","1980",10
"Region","Latin America and the Caribbean","R4","Resident","25 - Handling",25,"Handling","1980",82
"Region","Latin America and the Caribbean","R4","Resident","26 - Machine tools",26,"Machine tools","1980",34
"Region","Latin America and the Caribbean","R4","Resident","27 - Engines, pumps, turbines",27,"Engines, pumps, turbines","1980",25
"Region","Latin America and the Caribbean","R4","Resident","28 - Textile and paper machines",28,"Textile and paper machines","1980",21
"Region","Latin America and the Caribbean","R4","Resident","29 - Other special machines",29,"Other special machines","1980",82
"Region","Latin America and the Caribbean","R4","Resident","30 - Thermal processes and apparatus",30,"Thermal processes and apparatus","1980",22
"Region","Latin America and the Caribbean","R4","Resident","31 - Mechanical elements",31,"Mechanical elements","1980",75
"Region","Latin America and the Caribbean","R4","Resident","32 - Transport",32,"Transport","1980",47
"Region","Latin America and the Caribbean","R4","Resident","33 - Furniture, games",33,"Furniture, games","1980",116
"Region","Latin America and the Caribbean","R4","Resident","34 - Other consumer goods",34,"Other consumer goods","1980",74
"Region","Latin America and the Caribbean","R4","Resident","35 - Civil engineering",35,"Civil engineering","1980",127
"Region","Latin America and the Caribbean","R4","Non-Resident","0 - Unknown",0,"Unknown","1980",116
"Region","Latin America and the Caribbean","R4","Non-Resident","1 - Electrical machinery, apparatus, energy",1,"Electrical machinery, apparatus, energy","1980",153
"Region","Latin America and the Caribbean","R4","Non-Resident","2 - Audio-visual technology",2,"Audio-visual technology","1980",38
"Region","Latin America and the Caribbean","R4","Non-Resident","3 - Telecommunications",3,"Telecommunications","1980",30
"Region","Latin America and the Caribbean","R4","Non-Resident","4 - Digital communication",4,"Digital communication","1980",8
"Region","Latin America and the Caribbean","R4","Non-Resident","5 - Basic communication processes",5,"Basic communication processes","1980",17
"Region","Latin America and the Caribbean","R4","Non-Resident","6 - Computer technology",6,"Computer technology","1980",5
"Region","Latin America and the Caribbean","R4","Non-Resident","8 - Semiconductors",8,"Semiconductors","1980",9
"Region","Latin America and the Caribbean","R4","Non-Resident","9 - Optics",9,"Optics","1980",34
"Region","Latin America and the Caribbean","R4","Non-Resident","10 - Measurement",10,"Measurement","1980",50
"Region","Latin America and the Caribbean","R4","Non-Resident","11 - Analysis of biological materials",11,"Analysis of biological materials","1980",12
"Region","Latin America and the Caribbean","R4","Non-Resident","12 - Control",12,"Control","1980",16
"Region","Latin America and the Caribbean","R4","Non-Resident","13 - Medical technology",13,"Medical technology","1980",76
"Region","Latin America and the Caribbean","R4","Non-Resident","14 - Organic fine chemistry",14,"Organic fine chemistry","1980",415
"Region","Latin America and the Caribbean","R4","Non-Resident","15 - Biotechnology",15,"Biotechnology","1980",42
"Region","Latin America and the Caribbean","R4","Non-Resident","16 - Pharmaceuticals",16,"Pharmaceuticals","1980",153
"Region","Latin America and the Caribbean","R4","Non-Resident","17 - Macromolecular chemistry, polymers",17,"Macromolecular chemistry, polymers","1980",141
"Region","Latin America and the Caribbean","R4","Non-Resident","18 - Food chemistry",18,"Food chemistry","1980",88
"Region","Latin America and the Caribbean","R4","Non-Resident","19 - Basic materials chemistry",19,"Basic materials chemistry","1980",249
"Region","Latin America and the Caribbean","R4","Non-Resident","20 - Materials, metallurgy",20,"Materials, metallurgy","1980",156
"Region","Latin America and the Caribbean","R4","Non-Resident","21 - Surface technology, coating",21,"Surface technology, coating","1980",72
"Region","Latin America and the Caribbean","R4","Non-Resident","23 - Chemical engineering",23,"Chemical engineering","1980",176
"Region","Latin America and the Caribbean","R4","Non-Resident","24 - Environmental technology",24,"Environmental technology","1980",47
"Region","Latin America and the Caribbean","R4","Non-Resident","25 - Handling",25,"Handling","1980",154
"Region","Latin America and the Caribbean","R4","Non-Resident","26 - Machine tools",26,"Machine tools","1980",111
"Region","Latin America and the Caribbean","R4","Non-Resident","27 - Engines, pumps, turbines",27,"Engines, pumps, turbines","1980",109
"Region","Latin America and the Caribbean","R4","Non-Resident","28 - Textile and paper machines",28,"Textile and paper machines","1980",121
"Region","Latin America and the Caribbean","R4","Non-Resident","29 - Other special machines",29,"Other special machines","1980",212
"Region","Latin America and the Caribbean","R4","Non-Resident","30 - Thermal processes and apparatus",30,"Thermal processes and apparatus","1980",70
"Region","Latin America and the Caribbean","R4","Non-Resident","31 - Mechanical elements",31,"Mechanical elements","1980",220
"Region","Latin America and the Caribbean","R4","Non-Resident","32 - Transport",32,"Transport","1980",150
"Region","Latin America and the Caribbean","R4","Non-Resident","33 - Furniture, games",33,"Furniture, games","1980",54
"Region","Latin America and the Caribbean","R4","Non-Resident","34 - Other consumer goods",34,"Other consumer goods","1980",95
"Region","Latin America and the Caribbean","R4","Non-Resident","35 - Civil engineering",35,"Civil engineering","1980",165
"Region","North America","R5","Resident","0 - Unknown",0,"Unknown","1980",96
"Region","North America","R5","Resident","1 - Electrical machinery, apparatus, energy",1,"Electrical machinery, apparatus, energy","1980",2560
"Region","North America","R5","Resident","2 - Audio-visual technology",2,"Audio-visual technology","1980",981
"Region","North America","R5","Resident","3 - Telecommunications",3,"Telecommunications","1980",679
"Region","North America","R5","Resident","4 - Digital communication",4,"Digital communication","1980",125
"Region","North America","R5","Resident","5 - Basic communication processes",5,"Basic communication processes","1980",554
"Region","North America","R5","Resident","6 - Computer technology",6,"Computer technology","1980",694
"Region","North America","R5","Resident","7 - IT methods for management",7,"IT methods for management","1980",16
"Region","North America","R5","Resident","8 - Semiconductors",8,"Semiconductors","1980",568
"Region","North America","R5","Resident","9 - Optics",9,"Optics","1980",1289
"Region","North America","R5","Resident","10 - Measurement",10,"Measurement","1980",2109
"Region","North America","R5","Resident","11 - Analysis of biological materials",11,"Analysis of biological materials","1980",203
"Region","North America","R5","Resident","12 - Control",12,"Control","1980",693
"Region","North America","R5","Resident","13 - Medical technology",13,"Medical technology","1980",1481
"Region","North America","R5","Resident","14 - Organic fine chemistry",14,"Organic fine chemistry","1980",2305
"Region","North America","R5","Resident","15 - Biotechnology",15,"Biotechnology","1980",305
"Region","North America","R5","Resident","16 - Pharmaceuticals",16,"Pharmaceuticals","1980",491
"Region","North America","R5","Resident","17 - Macromolecular chemistry, polymers",17,"Macromolecular chemistry, polymers","1980",1289
"Region","North America","R5","Resident","18 - Food chemistry",18,"Food chemistry","1980",465
"Region","North America","R5","Resident","19 - Basic materials chemistry",19,"Basic materials chemistry","1980",1772
"Region","North America","R5","Resident","20 - Materials, metallurgy",20,"Materials, metallurgy","1980",1072
"Region","North America","R5","Resident","21 - Surface technology, coating",21,"Surface technology, coating","1980",714
"Region","North America","R5","Resident","22 - Micro-structural and nano-technology",22,"Micro-structural and nano-technology","1980",1
"Region","North America","R5","Resident","23 - Chemical engineering",23,"Chemical engineering","1980",1620
"Region","North America","R5","Resident","24 - Environmental technology",24,"Environmental technology","1980",614
"Region","North America","R5","Resident","25 - Handling",25,"Handling","1980",1754
"Region","North America","R5","Resident","26 - Machine tools",26,"Machine tools","1980",1585
"Region","North America","R5","Resident","27 - Engines, pumps, turbines",27,"Engines, pumps, turbines","1980",1304
